Gene Set	Score	0.95 MoE	P-Value	FDR
YAP.mt.Breast_HMLE_Lung_SALE_UP	-0.16886685544801688			
KRAS.Skin_PMEL_UP	-0.17083219522840554			
KRAS.12_UP	-0.18270263659552222			
KRAS.Lung_SALE_Skin_PMEL.12_UP	-0.18270263659552222			
KRAS.Breast_HMLE_Lung_SALE.12_UP	-0.18270263659552222			
KRAS.Lung_SALE.12_UP	-0.18270263659552222			
MEKdd_UP	-0.18338032438576532			
KRAS.Skin_PMEL.24_UP	-0.18415858629201726			
PIK3CA.Skin_PMEL_UP	-0.18474612112896316			
MEKdd.Lung_SALE_UP	-0.18475901748491183			
AKT1.Breast_HMLE.24_UP	-0.18515528945145257			
YAP.mt.24_UP	-0.19250308343497272			
KRAS.Breast_HMLE_Skin_PMEL.Weeks_DN	-0.194388139422838			
PIK3CA.Lung_SALE_Skin_PMEL.Weeks_DN	-0.19452765426254937			
KRAS.Breast_HMLE_Lung_SALE.Weeks_DN	-0.1962847370601797			
KRAS.Lung_SALE_Skin_PMEL.24_DN	-0.1973245306432666			
AKT1_DN	-0.20630461760490496			
BRAF.Skin_PMEL_DN	-0.2118868496975318			
KRAS.Breast_HMLE_Lung_SALE.24_UP	-0.2250004567537593			
YAP.Breast_HMLE_Lung_SALE.24_UP	-0.22958515078037744			
YAP.mt.Lung_SALE_UP	-0.23327271920377576			
KRAS.Breast_HMLE_Lung_SALE_DN	-0.23601795624089747			
BRAF.Skin_PMEL.24_DN	-0.2362433390385376			
KRAS.Lung_SALE_Skin_PMEL.Weeks_DN	-0.23729186467670502			
YAP.Breast_HMLE.24_DN	-0.23964680537089839			
MEKdd.Breast_HMLE.24_DN	-0.24073165977506902			
KRAS.Lung_SALE.24_DN	-0.2557218226512757			
BRAF.Lung_SALE.Weeks_DN	-0.2582210488879094			
YAP.mt_UP	-0.2627565386386886			
BRAF.Breast_HMLE_Skin_PMEL_UP	-0.26498182473771614			
AKT1.Breast_HMLE_Skin_PMEL_UP	-0.27468807746062024			
KRAS.Lung_SALE.12_DN	-0.27623808907308806			
KRAS.12_DN	-0.27623808907308806			
KRAS.Breast_HMLE_Lung_SALE.12_DN	-0.27623808907308806			
KRAS.Lung_SALE_Skin_PMEL.12_DN	-0.27623808907308806			
KRAS.Lung_SAEC_DN	-0.27972321428746205			
KRAS.Lung_SAEC.24_DN	-0.27972321428746205			
