Gene Set	C_1_tpm	C_2_tpm	C_3_tpm	VS_1_tpm	VS_2_tpm	VS_3_tpm
PIK3CA.Lung_SALE_Skin_PMEL.24_UP	13131.472665093796	13086.16613580621	13083.15689014791	13167.692812946318	13079.948774787843	13184.375132390292
PIK3CA.Lung_SALE_Skin_PMEL.Weeks_DN	12621.369587608984	12570.243864162725	12782.421833260922	12571.141222007373	12659.715044544571	12656.048117463086
PIK3CA.Lung_SALE_Skin_PMEL.Weeks_UP	13417.218276501173	13510.962097009495	13412.625826946292	13420.01195274106	13398.025291177346	13253.502127083902
PIK3CA.Lung_SALE_Skin_PMEL_DN	12387.614111103048	12381.258891043444	12451.190218255464	12138.781014983513	12255.400295601301	12401.41274676949
PIK3CA.Lung_SALE_Skin_PMEL_UP	13367.394881542219	13458.220273614093	13362.572452878494	13441.398050850174	13422.945452834427	13299.009439260184
PIK3CA.Lung_SALE_UP	12664.451691336315	12853.335650664589	12751.11357175969	12636.089101834355	12460.092241829194	12491.795527313896
PIK3CA.Skin_PMEL.24_DN	13779.186113738962	13617.781824340289	13790.233635647683	13790.116750277843	13827.614622826915	13616.566039577723
PIK3CA.Skin_PMEL.24_UP	12609.933565256302	12592.601076336025	12680.053090964906	12534.019584054326	12469.915789876932	12605.343157199553
PIK3CA.Skin_PMEL.Weeks_DN	14695.634608843202	14560.767940977319	14737.289130555462	14550.25404837467	14631.567489364163	14583.038270888055
PIK3CA.Skin_PMEL.Weeks_UP	12597.927538645563	12496.730564420905	12423.460141778996	12469.122776283055	12461.770657890693	12465.285072549063
PIK3CA.Skin_PMEL_DN	14596.883484284806	14560.35672315284	14730.881950040895	14708.582049497934	14752.522178467247	14485.008401194167
PIK3CA.Skin_PMEL_UP	13056.634191242056	13080.848906722245	13167.133950615771	13199.48596861957	13023.379833101957	13000.693996686012
PIK3CA.Weeks_DN	12417.792531351331	12425.199219237185	12513.871740836417	12443.750163641324	12436.24078984647	12501.369479089311
PIK3CA.Weeks_UP	13998.661237099217	13965.82670115169	13962.533888944647	13879.643434337637	13861.061711812716	13805.68045292879
PIK3CA_DN	12247.810353792005	12261.002192927795	12301.600120743453	12094.776063110836	12250.411778177435	12302.549512027092
PIK3CA_UP	13292.427840777207	13347.31058978118	13262.624171927875	13290.068771310673	13285.033382529793	13207.311927501247
YAP.24_DN	15546.774329752416	15556.032287985718	15533.532375131612	15492.573578281184	15491.398574151679	15533.44699645998
YAP.24_UP	12904.694694344349	12777.80454883917	12753.259268569684	12738.80618667335	12668.160028560744	12768.78513338007
YAP.Breast_HMLE.24_DN	13036.600429220032	13004.062720757032	12903.645313772895	12991.850728710924	12960.439238335583	12951.244137591479
YAP.Breast_HMLE.24_UP	13475.037341171233	13038.94537302082	13361.448520410253	13180.138883671254	13047.412997868934	13025.205647494675
YAP.Breast_HMLE_DN	12900.402025738678	12884.040193404258	12902.373922745133	12736.901966428184	12731.97221862229	13033.152276140994
YAP.Breast_HMLE_Lung_SALE.24_DN	14529.71639837105	14435.063747885464	14476.340703630054	14492.324503306607	14399.97278153258	14361.666813763939
YAP.Breast_HMLE_Lung_SALE.24_UP	13239.397387172277	13087.272195309273	13101.681991673788	13137.485331354514	13053.590730596883	13133.928731728294
YAP.Breast_HMLE_Lung_SALE_DN	15385.840077431825	15390.751483392174	15372.300944057271	15361.000678427014	15340.210099654882	15351.327014820974
YAP.Breast_HMLE_Lung_SALE_UP	13104.22575702169	12941.284490688728	13008.757090770217	12990.250623980155	12932.803508367162	12974.417629522393
YAP.Breast_HMLE_Skin_PMEL.24_DN	13518.794114177103	13477.004603785781	13393.08846577786	13381.017881256861	13432.583182674296	13400.21675367683
YAP.Breast_HMLE_Skin_PMEL.24_UP	12962.443181051847	12885.52256742979	13051.16306553337	12859.491971312207	12858.027759336677	12872.936622515937
YAP.Breast_HMLE_Skin_PMEL_DN	13222.49890423846	13253.533433410248	13137.09418898901	13185.092863300655	13172.308432219239	13132.189844649543
YAP.Breast_HMLE_Skin_PMEL_UP	12496.325772597258	12199.935680542063	12439.563898748074	12266.342026562364	12275.064069045322	12505.633558573662
YAP.Breast_HMLE_UP	13261.730886505244	13006.662835610374	13346.916112802488	13176.722975904284	13026.874228632953	13036.761086125838
YAP.mt.24_DN	12641.735237020084	12792.292627467152	12840.025445359359	12464.701084431004	12774.703989080384	12631.45576670295
YAP.mt.24_UP	11644.17770897722	11402.89660520961	11885.457660254433	11353.533690455966	11336.91100422582	11711.602914027906
YAP.mt.Breast_HMLE.24_DN	12600.030684764823	12567.950722182813	12676.828998095118	12923.279571410774	12726.20890268694	12438.01000132881
YAP.mt.Breast_HMLE.24_UP	13062.18715061942	12992.253414749046	13123.448855027333	13197.271786348278	12834.461577611088	13325.412722291649
YAP.mt.Breast_HMLE_DN	12809.93638050456	12788.384369278068	13059.011454741249	13235.029319155476	13133.736199660589	12841.91947231701
YAP.mt.Breast_HMLE_Lung_SALE.24_DN	11801.031325503558	11959.243456573044	11785.125597921036	11864.69416832147	11983.431158073923	11940.619861532454
YAP.mt.Breast_HMLE_Lung_SALE.24_UP	12397.183939368446	12174.053113023281	12315.783689936115	12058.600853011256	11938.684084622508	12322.28215566859
YAP.mt.Breast_HMLE_Lung_SALE_DN	12517.608362951321	12531.525786638547	12767.621233406766	12575.274471219029	12793.934761030037	12569.369633780694
YAP.mt.Breast_HMLE_Lung_SALE_UP	12216.03059146304	11956.542132932556	12257.211049851532	12088.498120144872	11975.601409100698	12209.077979091873
YAP.mt.Breast_HMLE_Skin_PMEL.24_DN	14218.69867596248	14223.62596761232	14241.897745156948	14202.893051410305	14270.465116246198	14140.123554566542
YAP.mt.Breast_HMLE_Skin_PMEL.24_UP	12484.006581528967	12305.326280137546	12514.4010364278	12434.731293327415	12244.662293631842	12489.803091021977
YAP.mt.Breast_HMLE_Skin_PMEL_DN	13556.29711421084	13544.598133670916	13553.047535746051	13510.79636109649	13603.001878344301	13437.996391759889
YAP.mt.Breast_HMLE_Skin_PMEL_UP	12315.14445869598	12303.525304830195	12355.719518031998	12264.532987306913	11893.872542581526	12378.03189870955
YAP.mt.Breast_HMLE_UP	13349.179114825924	13210.193361252992	13363.988565455116	13416.427451489386	13062.153524004756	13361.371499827124
YAP.mt.Lung_SALE.24_DN	12372.828873374403	12527.692562940605	12243.884765009867	12257.837053964762	12226.017743515946	12481.448247336064
YAP.mt.Lung_SALE.24_UP	13120.7382939902	12844.153697279522	13178.830985131592	12888.007542480662	12615.824344216284	12578.332630520097
YAP.mt.Lung_SALE_DN	12406.166947161122	12530.937075579372	12577.734266046074	12301.783565275528	12372.70068692127	12359.986050838983
YAP.mt.Lung_SALE_Skin_PMEL.24_DN	13691.308889928425	13854.123381598596	13688.71732798737	13727.019014658057	13675.492118067777	13904.280587033389
YAP.mt.Lung_SALE_Skin_PMEL.24_UP	13024.038351381854	12770.863242352376	13106.26610890997	12862.759362608269	12587.117635786775	12604.704105331204
YAP.mt.Lung_SALE_Skin_PMEL_DN	12482.563732524817	12545.942481285458	12696.985284073267	12342.89423311769	12556.073854720675	12475.643188054384
YAP.mt.Lung_SALE_Skin_PMEL_UP	12923.566258195162	12860.154543350147	13046.724157280725	12921.90195573052	12883.90752078506	12844.767893358494
YAP.mt.Lung_SALE_UP	13023.941654622988	12940.38084212032	13075.880148425349	13025.93984377952	12932.00427237536	12927.14512014684
YAP.mt_DN	12913.236350240848	13068.937233478304	13046.124073873638	12929.117447708322	13150.820636125673	13019.176238586126
YAP.mt_UP	12015.43642706049	11670.166952158517	11910.225414292834	11667.625126997369	11496.630704972224	11903.98049044593
YAP_DN	15078.980782066741	15092.859319346526	15011.145885100095	14986.612663034843	14977.70632616864	15010.557492240867
YAP_UP	12820.398151166177	12626.249436454294	12644.144298274385	12656.893193202293	12620.557146767293	12680.614233284497
