Gene Set	Score	0.95 MoE	P-Value	FDR
IPA_PTF1A_DN	0.7135227967428007	0.16084384934032608	0.02979966611018364	0.9317073170731707
IPA_OTX2_DN	0.704408099995776	0.17555512638164597	0.031135225375626043	0.9317073170731707
IPA_SMARCA4_DN	0.7003517317340782	0.18002381867717915	0.03146911519198665	0.9317073170731707
IPA_ZBTB16_DN	0.6978841144737972	0.16707763051324293	0.0318864774624374	0.9317073170731707
IPA_KLF15_UP	0.6839416173228363	0.17543045903041957	0.03347245409015025	0.9547619047619047
IPA_BARX2_UP	0.6676313918663465	0.1537319193110968	0.03772954924874791	0.9939034716342083
IPA_FOSL2_DN	0.6635991639829315	0.178688252239643	0.039065108514190316	0.9939034716342083
IPA_SKIL_UP	0.6621208011734778	0.17536123141667878	0.03973288814691152	0.9939034716342083
IPA_YBX1_UP	0.660891552865013	0.1810625970340179	0.04006677796327212	0.9939034716342083
IPA_MYRF_UP	0.6591917036874118	0.18227061825005506	0.04073455759599332	0.9939034716342083
IPA_GATA3_DN	0.6587819339829623	0.15745277086687084	0.04106844741235392	0.9939034716342083
IPA_CENPA_UP	0.6583962453552047	0.16932797054464735	0.041318864774624375	0.9939034716342083
IPA_MEIS2_UP	0.6571405612406133	0.14882941800185134	0.041652754590984976	0.9939034716342083
IPA_NFE2L3_UP	0.6540765715586605	0.14884023020876863	0.04290484140233723	0.9939034716342083
IPA_POU4F1_UP	0.6399405829191875	0.17592014511707438	0.0511686143572621	0.9911072362685267
IPA_OTP_UP	0.6388757004446113	0.17662105204181625	0.05175292153589316	0.9911072362685267
IPA_SULT2A1_UP	0.6383068132928719	0.2551607802454709	0.05200333889816361	0.9911072362685267
IPA_ID2_DN	0.6356985022772862	0.16838579965450012	0.05550918196994992	0.9891608391608392
IPA_HIST4H4_UP	0.6350636040001622	0.15770643733816972	0.05676126878130217	0.9891608391608392
IPA_HIST2H4B_UP	0.6350636040001622	0.15770643733816972	0.05676126878130217	0.9891608391608392
IPA_HIST2H4A_UP	0.6350636040001622	0.15770643733816972	0.05676126878130217	0.9891608391608392
IPA_HIST1H4L_UP	0.6350636040001622	0.15770643733816972	0.05676126878130217	0.9891608391608392
IPA_HIST1H4J_UP	0.6350636040001622	0.15770643733816972	0.05676126878130217	0.9891608391608392
IPA_HIST1H4I_UP	0.6350636040001622	0.15770643733816972	0.05676126878130217	0.9891608391608392
IPA_HIST1H4H_UP	0.6350636040001622	0.15770643733816972	0.05676126878130217	0.9891608391608392
IPA_HIST1H4F_UP	0.6350636040001622	0.15770643733816972	0.05676126878130217	0.9891608391608392
IPA_HIST1H4A_UP	0.6350636040001622	0.15770643733816972	0.05676126878130217	0.9891608391608392
IPA_HIST1H4E_UP	0.6350636040001622	0.15770643733816972	0.05676126878130217	0.9891608391608392
