Gene Set	C_1_tpm	C_2_tpm	C_3_tpm	VS_1_tpm	VS_2_tpm	VS_3_tpm
IPA_ARX_UP	5192.342207333147	4669.662373751207	4477.069476787234	5534.946861894135	5153.386405164498	4137.147244210618
IPA_AR_DN	10282.843128993301	10096.32029986635	10724.192961199466	10041.59563565453	10665.739319809456	10114.890681052284
IPA_AR_UP	10851.58871526671	10923.794149984747	10730.83196848668	10733.401468891738	10917.077681319472	10399.599581502234
IPA_ASCL1_DN	9672.50579745863	9395.148890221146	9605.794090942909	9618.780161232315	9648.546638081914	9259.769059649789
IPA_ASCL1_UP	6749.108388764858	6965.575818244446	6895.168813989943	6815.541153850356	7311.5231360455255	5757.5412127298205
IPA_ASF1A_DN	9776.426908256688	9701.17964327455	9861.251850101047	9949.446735325806	9949.129517202846	9782.773609569565
IPA_ASF1A_UP	4181.616700624557	4446.6240964549825	4284.619575230345	5047.640869640213	4663.630152663294	3757.6048672958746
IPA_ASF1B_DN						
IPA_ASF1B_UP	17010.974742543858	17029.97527281095	17029.97527281095	16932.972565657907	16913.97203539082	16887.97130976217
IPA_ATF1_DN						
IPA_ATF1_UP	6317.676313808671	5737.660126708115	5636.657307919915	5076.641678995241	5860.663559489784	5841.663029222697
IPA_ATF2_DN	9270.240912229048	10096.658338080413	8873.583833247112	9429.852739859125	8939.70515032867	9318.183321697163
IPA_ATF2_UP	11134.91172896159	10849.094899368416	10883.884975700093	10681.131708196386	10651.336400918774	11087.297410612628
IPA_ATF3_DN	11690.813115717112	12111.179881129628	12210.091103973382	13275.93649413699	12597.36086300683	11382.020201425585
IPA_ATF3_UP	11876.471827995314	11757.5013907669	11924.118042012324	11873.937604865554	11957.29994755487	11571.846554281286
IPA_ATF4_DN	11393.376172970391	11208.50998210971	12630.7127150774	11876.022130225314	11835.941589213033	12641.981486190318
IPA_ATF4_UP	12235.947790142009	12761.654395204376	12513.15544805488	12293.544084878808	12350.226266391724	12342.433954748916
IPA_ATF5_DN	11322.934760865743	9709.6816969654	9677.194989783115	9475.548819225576	8895.493354977043	9045.299490866837
IPA_ATF5_UP	14114.335755546077	13988.753138410717	14003.922728318106	14121.330530949623	14143.587285240383	11736.531575152496
IPA_ATF6B_DN	10340.788590887178	10440.791381766585	10078.781278783134	8746.744104269445	10130.782730040426	9568.767045298164
IPA_ATF6B_UP	14065.02091232773	13986.668899008524	14292.763539710582	13738.543906143208	13961.113473458707	13767.525908460886
IPA_ATF6_DN	11200.221095967974	11432.5807748342	13550.688082307215	11228.557835713442	10894.324086448121	13772.86088598265
IPA_ATF6_UP	11364.493474400635	12820.463243726594	11344.009511599837	11375.052924874692	11170.787005684202	11447.761804460035
IPA_ATF7_DN						
IPA_ATF7_UP	8527.912783518714	8453.392300671858	8546.107602450196	8182.51137888383	8261.201300871538	8483.414675945318
IPA_ATOH1_DN						
IPA_ATOH1_UP	3196.5892104624063	3505.597834279771	2712.575702606081	3062.585470684002	3159.588177837026	3026.584465967416
